65, 20, 15, 16, 25, 23, 18, 26, 24, 20, 23, 14, 18, 19, 22, 15, 13, 17, 14, 19, 16, 27, 20, 17, 11, 10, 8, 9, 7, 8, 11, 15, 12, 26, 15, 11, 12, 13, 29, 27, 18, 15, 19, 18, 24, 23, 35, 31, 18, 19, 27, 20, 32, 44, 50, 25, 21, 24, 34, 20, 24, 35, 44, 42, 33, 39, 41, 45, 36, 43, 22, 29, 37, 36, 42, 36, 31, 19, 30, 22, 27, 27, 25, 22, 20, 34, 37, 32, 37, 33, 33, 31, 36, 23, 28, 26, 39, 29, 29, 38, 40, 49, 33, 38, 38, 22, 25, 30, 24, 33, 24, 28, 15, 22, 21, 27, 39, 24, 38, 25, 32, 31, 28, 15, 18, 17, 34, 25, 21, 15, 18, 18, 17, 13, 19, 25, 18, 11, 18, 24, 13, 15, 17, 4, 21, 13, 11, 8, 8, 10
24, 17, 14, 16, 13, 6, 8, 9, 11, 4, 9, 7, 8, 4, 7, 10, 3, 8, 5, 7, 3, 5, 9, 6, 5, 6, 8, 4, 4, 4, 3, 3, 1, 8, 5, 6, 9, 8, 13, 16, 15, 10, 16, 9, 10, 9, 15, 16, 11, 14, 8, 10, 13, 16, 22, 13, 10, 14, 23, 14, 17, 16, 25, 22, 20, 15, 26, 22, 20, 23, 12, 17, 24, 26, 26, 18, 21, 18, 18, 14, 14, 13, 16, 14, 10, 14, 20, 12, 14, 19, 15, 11, 18, 9, 12, 13, 17, 17, 8, 13, 17, 18, 13, 14, 16, 10, 9, 12, 12, 16, 10, 10, 8, 11, 9, 14, 19, 17, 18, 11, 14, 14, 13, 8, 10, 7, 17, 12, 9, 4, 8, 7, 6, 10, 10, 10, 9, 6, 11, 13, 8, 4, 6, 2, 12, 7, 7, 8, 8, 4
30, 13, 14, 14, 14, 10, 19, 15, 12, 5, 9, 6, 9, 4, 7, 7, 9, 8, 8, 7, 6, 6, 7, 4, 7, 6, 7, 7, 6, 11, 7, 9, 8, 9, 7, 4, 6, 9, 10, 17, 16, 14, 20, 10, 10, 13, 15, 13, 13, 18, 8, 8, 12, 19, 19, 10, 11, 10, 16, 16, 20, 18, 24, 27, 11, 14, 23, 21, 13, 18, 10, 16, 22, 20, 19, 17, 14, 11, 17, 13, 11, 10, 12, 13, 11, 14, 20, 16, 20, 18, 17, 13, 16, 11, 16, 14, 19, 15, 10, 11, 17, 15, 14, 15, 18, 12, 15, 11, 10, 15, 8, 12, 11, 13, 9, 13, 16, 13, 19, 12, 17, 14, 15, 6, 8, 7, 18, 11, 10, 4, 8, 9, 8, 10, 11, 9, 7, 8, 11, 10, 6, 3, 7, 3, 11, 9, 10, 10, 4, 5
41, 16, 16, 10, 11, 6, 10, 11, 12, 15, 14, 11, 8, 9, 8, 8, 6, 11, 10, 9, 11, 10, 9, 7, 4, 3, 7, 4, 2, 2, 8, 8, 8, 8, 7, 4, 9, 7, 10, 12, 12, 13, 22, 15, 12, 12, 18, 16, 14, 18, 10, 10, 13, 18, 17, 11, 10, 6, 20, 12, 15, 18, 23, 22, 14, 18, 26, 19, 15, 15, 13, 16, 20, 14, 22, 16, 15, 15, 19, 21, 24, 16, 15, 12, 14, 11, 17, 12, 14, 13, 14, 7, 12, 9, 11, 9, 14, 9, 4, 11, 16, 13, 12, 8, 14, 8, 14, 18, 14, 18, 13, 12, 10, 12, 11, 15, 21, 14, 17, 13, 16, 12, 12, 6, 10, 6, 15, 10, 8, 4, 7, 8, 4, 7, 8, 8, 10, 4, 7, 7, 6, 3, 7, 4, 15, 7, 9, 3, 3, 3
42, 21, 17, 20, 16, 16, 13, 13, 11, 9, 13, 11, 9, 15, 9, 10, 5, 9, 10, 6, 10, 8, 12, 8, 9, 8, 7, 4, 5, 4, 7, 6, 9, 7, 11, 8, 9, 9, 13, 13, 14, 9, 17, 13, 11, 13, 14, 17, 16, 18, 13, 11, 14, 21, 16, 11, 10, 6, 18, 11, 18, 14, 20, 19, 14, 19, 24, 17, 14, 17, 9, 12, 14, 11, 16, 14, 12, 8, 11, 13, 13, 12, 17, 11, 5, 8, 15, 12, 14, 12, 16, 11, 15, 8, 8, 9, 15, 15, 8, 8, 14, 11, 8, 13, 15, 16, 11, 10, 11, 17, 8, 10, 12, 12, 4, 13, 19, 12, 11, 11, 12, 10, 13, 7, 8, 8, 15, 11, 7, 4, 7, 5, 5, 8, 10, 8, 7, 4, 8, 8, 10, 4, 6, 2, 11, 7, 7, 5, 2, 2
32, 17, 12, 10, 16, 10, 15, 12, 16, 15, 10, 16, 7, 12, 13, 14, 13, 11, 11, 4, 7, 7, 8, 9, 8, 8, 9, 8, 9, 7, 8, 7, 11, 6, 9, 5, 7, 11, 12, 17, 15, 14, 20, 20, 14, 15, 15, 18, 14, 15, 15, 13, 18, 21, 23, 14, 11, 9, 17, 9, 15, 16, 14, 16, 12, 13, 19, 19, 15, 13, 11, 12, 10, 10, 17, 18, 11, 7, 9, 14, 11, 10, 12, 12, 6, 10, 14, 11, 18, 16, 14, 7, 9, 7, 11, 6, 12, 8, 6, 10, 16, 14, 10, 12, 15, 12, 11, 10, 10, 16, 13, 14, 10, 11, 6, 10, 14, 10, 12, 10, 11, 12, 12, 4, 6, 8, 16, 11, 11, 4, 8, 7, 9, 6, 9, 7, 9, 8, 9, 8, 6, 2, 6, 3, 12, 6, 8, 6, 3, 4
24, 24, 17, 11, 20, 13, 16, 11, 11, 14, 11, 15, 11, 15, 7, 11, 11, 13, 12, 12, 13, 6, 8, 6, 6, 9, 11, 7, 5, 6, 11, 6, 10, 6, 6, 4, 4, 7, 9, 16, 16, 13, 21, 15, 14, 20, 22, 24, 19, 22, 14, 10, 13, 21, 18, 11, 7, 9, 18, 7, 11, 17, 20, 13, 8, 13, 20, 15, 17, 14, 15, 17, 14, 13, 12, 15, 7, 11, 11, 13, 11, 8, 12, 10, 8, 9, 22, 17, 18, 14, 12, 9, 11, 4, 7, 5, 12, 10, 6, 8, 15, 13, 9, 12, 12, 12, 13, 16, 12, 17, 14, 13, 12, 10, 9, 13, 17, 16, 14, 13, 13, 12, 13, 5, 4, 6, 12, 11, 10, 6, 13, 9, 9, 13, 17, 11, 11, 5, 9, 7, 8, 4, 8, 4, 11, 9, 5, 5, 4, 4
26, 14, 19, 10, 18, 16, 11, 14, 13, 16, 9, 13, 9, 13, 11, 10, 9, 10, 10, 9, 11, 10, 9, 9, 5, 5, 3, 2, 3, 6, 9, 7, 12, 8, 6, 7, 8, 9, 14, 15, 14, 12, 22, 16, 10, 16, 17, 20, 19, 23, 14, 10, 16, 19, 16, 9, 9, 5, 10, 7, 10, 21, 23, 19, 14, 12, 21, 10, 15, 8, 10, 9, 11, 11, 15, 19, 8, 9, 13, 13, 17, 8, 13, 7, 7, 7, 18, 11, 16, 14, 13, 12, 16, 8, 10, 9, 11, 10, 8, 12, 17, 14, 12, 15, 15, 12, 13, 10, 14, 21, 12, 14, 13, 19, 11, 13, 16, 13, 12, 15, 10, 15, 12, 6, 6, 10, 15, 14, 14, 9, 13, 9, 13, 15, 13, 12, 14, 8, 14, 11, 12, 6, 10, 4, 10, 8, 6, 8, 7, 4
21, 6, 10, 8, 11, 13, 9, 9, 7, 13, 10, 11, 7, 7, 6, 6, 6, 11, 10, 10, 10, 8, 7, 11, 9, 6, 9, 4, 3, 3, 7, 6, 12, 11, 14, 11, 8, 9, 13, 10, 16, 11, 18, 16, 8, 13, 21, 26, 17, 19, 13, 10, 15, 20, 19, 13, 13, 7, 16, 11, 15, 20, 20, 14, 14, 12, 15, 16, 11, 8, 8, 8, 11, 11, 13, 18, 11, 13, 10, 9, 12, 7, 12, 12, 6, 3, 16, 12, 19, 13, 13, 7, 12, 5, 10, 10, 17, 16, 6, 13, 18, 12, 12, 13, 16, 17, 13, 13, 13, 15, 11, 11, 9, 12, 7, 13, 16, 15, 12, 14, 9, 14, 11, 5, 7, 11, 16, 15, 13, 11, 12, 7, 11, 13, 16, 14, 15, 12, 15, 10, 13, 8, 10, 6, 11, 12, 8, 8, 4, 5
20, 5, 12, 7, 12, 4, 11, 7, 5, 11, 11, 11, 8, 8, 8, 8, 4, 10, 6, 8, 12, 8, 7, 9, 10, 12, 9, 10, 4, 5, 7, 8, 9, 7, 3, 3, 5, 9, 15, 12, 13, 8, 17, 14, 11, 12, 23, 24, 14, 15, 16, 8, 14, 19, 24, 16, 11, 6, 14, 13, 15, 23, 18, 15, 13, 14, 17, 21, 18, 16, 16, 12, 15, 9, 10, 14, 8, 7, 11, 12, 17, 13, 11, 5, 6, 6, 20, 15, 18, 19, 19, 8, 14, 7, 8, 12, 12, 13, 10, 13, 18, 13, 10, 14, 15, 15, 15, 14, 13, 18, 11, 10, 8, 13, 8, 9, 15, 16, 11, 16, 9, 18, 14, 6, 10, 12, 17, 14, 7, 10, 11, 9, 14, 9, 13, 8, 11, 8, 14, 10, 15, 10, 15, 9, 15, 16, 9, 9, 9, 8
