25, 20, 21, 16, 12, 12, 18, 21, 19, 23, 18, 20, 15, 19, 20, 16, 16, 13, 12, 12, 17, 27, 17, 23, 24, 21, 16, 17, 21, 19, 17, 15, 17, 18, 26, 20, 19, 13, 17, 12, 17, 18, 29, 23, 23, 21, 32, 27, 15, 17, 20, 27, 21, 17, 12, 21, 19, 22, 12, 24, 12, 17, 17, 17, 14, 17, 25, 22, 11, 12, 16, 22, 18, 12, 16, 10, 11, 10, 14, 12, 17, 13, 12, 14, 14, 15, 13, 9, 15, 11, 8, 8, 8, 10
36, 15, 17, 14, 16, 15, 23, 24, 21, 15, 20, 29, 28, 16, 20, 22, 19, 17, 15, 15, 16, 24, 20, 33, 26, 17, 22, 23, 22, 23, 22, 19, 16, 17, 19, 20, 22, 15, 11, 21, 23, 20, 26, 28, 19, 23, 26, 22, 15, 20, 23, 31, 18, 13, 14, 17, 23, 17, 18, 22, 11, 17, 15, 17, 16, 11, 16, 20, 12, 23, 21, 20, 14, 13, 17, 17, 12, 16, 17, 22, 23, 19, 22, 21, 18, 15, 13, 17, 17, 15, 7, 9, 10, 6
15, 11, 13, 9, 14, 14, 24, 24, 32, 19, 20, 20, 27, 23, 26, 30, 31, 34, 21, 21, 22, 21, 17, 29, 29, 19, 16, 21, 18, 31, 21, 22, 21, 22, 22, 24, 24, 12, 17, 17, 14, 22, 30, 22, 14, 19, 25, 26, 20, 22, 21, 21, 16, 15, 20, 18, 30, 20, 16, 18, 21, 24, 17, 18, 12, 20, 24, 25, 21, 20, 20, 20, 18, 20, 19, 19, 19, 18, 26, 23, 24, 26, 30, 26, 20, 20, 11, 14, 15, 11, 11, 11, 6, 4
16, 8, 7, 15, 10, 10, 17, 17, 20, 13, 14, 18, 20, 24, 23, 27, 24, 34, 30, 26, 29, 18, 30, 26, 31, 20, 25, 27, 31, 23, 28, 18, 41, 30, 27, 23, 24, 19, 18, 19, 18, 30, 21, 20, 21, 25, 26, 29, 29, 22, 14, 17, 27, 22, 23, 15, 27, 24, 24, 22, 29, 20, 24, 24, 23, 23, 34, 31, 25, 26, 23, 19, 20, 17, 17, 21, 20, 23, 21, 26, 21, 20, 21, 16, 15, 9, 9, 15, 14, 10, 10, 6, 8, 6
26, 6, 9, 13, 13, 15, 18, 18, 16, 25, 13, 16, 10, 18, 16, 29, 18, 24, 21, 17, 26, 22, 25, 32, 26, 28, 25, 28, 29, 31, 16, 24, 31, 28, 30, 28, 23, 12, 23, 19, 31, 18, 16, 15, 17, 26, 29, 22, 30, 21, 15, 18, 15, 28, 24, 18, 32, 36, 29, 30, 31, 28, 38, 30, 23, 32, 26, 27, 18, 21, 20, 19, 17, 15, 13, 20, 18, 22, 17, 25, 20, 21, 17, 19, 18, 22, 20, 22, 16, 15, 11, 8, 7, 6
26, 10, 8, 9, 6, 11, 18, 15, 18, 17, 20, 12, 18, 22, 16, 16, 14, 19, 21, 20, 21, 21, 25, 21, 22, 24, 25, 23, 22, 24, 25, 28, 33, 23, 22, 23, 30, 21, 19, 33, 16, 18, 11, 12, 21, 19, 23, 23, 23, 24, 19, 20, 19, 36, 36, 33, 27, 35, 25, 20, 22, 17, 22, 17, 16, 20, 23, 22, 18, 16, 16, 13, 15, 16, 17, 22, 17, 28, 24, 20, 27, 19, 21, 22, 22, 30, 21, 18, 13, 11, 7, 9, 10, 10
26, 7, 9, 10, 15, 18, 18, 13, 17, 12, 22, 11, 14, 23, 22, 17, 20, 20, 18, 17, 19, 11, 22, 21, 23, 22, 22, 17, 22, 19, 20, 28, 24, 27, 24, 25, 15, 25, 23, 29, 20, 12, 11, 18, 19, 15, 16, 21, 21, 27, 20, 25, 28, 25, 22, 26, 22, 25, 27, 18, 17, 15, 21, 20, 16, 23, 26, 21, 17, 16, 18, 19, 22, 25, 23, 24, 24, 22, 18, 21, 24, 19, 35, 23, 23, 11, 20, 16, 16, 21, 17, 14, 7, 7
35, 13, 11, 11, 15, 22, 22, 15, 16, 22, 17, 13, 16, 18, 17, 17, 18, 17, 23, 23, 14, 16, 26, 23, 27, 25, 18, 21, 15, 11, 17, 24, 20, 19, 28, 30, 16, 15, 26, 12, 20, 19, 19, 22, 20, 13, 16, 18, 23, 22, 19, 27, 23, 15, 27, 26, 26, 18, 28, 20, 10, 20, 21, 20, 21, 19, 26, 29, 20, 31, 23, 20, 19, 16, 15, 18, 23, 22, 19, 23, 24, 32, 33, 31, 29, 20, 18, 14, 16, 19, 14, 13, 11, 8
32, 17, 7, 9, 18, 23, 24, 16, 20, 24, 17, 14, 14, 18, 14, 15, 24, 20, 19, 22, 12, 17, 15, 18, 21, 20, 15, 22, 18, 18, 21, 30, 23, 14, 18, 26, 20, 18, 20, 12, 15, 15, 24, 20, 25, 7, 11, 14, 19, 23, 22, 25, 16, 20, 27, 18, 22, 26, 25, 18, 20, 18, 30, 18, 18, 17, 30, 36, 39, 35, 23, 18, 28, 21, 20, 26, 23, 27, 24, 25, 22, 24, 17, 30, 16, 15, 9, 10, 14, 14, 17, 14, 8, 7
38, 21, 21, 16, 18, 20, 16, 13, 8, 16, 23, 16, 21, 21, 14, 21, 25, 23, 27, 17, 21, 14, 14, 18, 16, 14, 14, 16, 21, 22, 24, 28, 22, 18, 18, 26, 14, 22, 23, 14, 18, 23, 24, 16, 9, 12, 12, 15, 20, 20, 26, 24, 17, 21, 15, 24, 23, 23, 29, 25, 19, 20, 21, 18, 34, 32, 33, 31, 35, 39, 19, 19, 23, 20, 17, 30, 29, 26, 28, 25, 23, 27, 22, 20, 14, 8, 11, 12, 14, 11, 16, 10, 8, 12
39, 18, 17, 16, 15, 21, 16, 20, 23, 24, 30, 26, 27, 29, 22, 25, 18, 17, 26, 20, 23, 15, 17, 16, 19, 14, 11, 13, 13, 14, 26, 26, 21, 21, 25, 19, 26, 13, 16, 20, 17, 21, 20, 12, 14, 16, 12, 17, 17, 19, 25, 23, 23, 16, 14, 29, 17, 28, 28, 36, 24, 28, 27, 29, 31, 29, 25, 20, 33, 26, 19, 19, 22, 20, 22, 23, 29, 26, 23, 24, 22, 18, 17, 15, 17, 19, 15, 15, 16, 16, 14, 10, 10, 10
27, 14, 15, 16, 15, 17, 8, 8, 14, 19, 19, 18, 18, 26, 28, 27, 39, 29, 32, 25, 19, 21, 23, 14, 20, 13, 17, 12, 12, 14, 12, 15, 23, 29, 28, 31, 17, 13, 16, 17, 17, 18, 19, 18, 15, 13, 12, 14, 11, 23, 17, 28, 11, 15, 20, 17, 23, 25, 31, 29, 28, 18, 26, 24, 27, 32, 18, 20, 26, 20, 17, 16, 20, 29, 28, 23, 25, 23, 16, 11, 18, 12, 12, 16, 7, 13, 20, 14, 18, 17, 20, 15, 15, 20
38, 12, 13, 13, 12, 12, 12, 9, 15, 21, 15, 15, 20, 23, 20, 22, 25, 22, 27, 18, 22, 28, 17, 19, 26, 20, 19, 22, 18, 14, 19, 20, 14, 30, 26, 29, 22, 21, 13, 15, 15, 14, 10, 14, 15, 18, 13, 11, 15, 24, 20, 21, 21, 17, 14, 21, 29, 30, 31, 32, 30, 21, 20, 20, 31, 25, 21, 30, 26, 17, 17, 17, 23, 29, 21, 26, 21, 17, 9, 17, 16, 13, 11, 14, 13, 15, 11, 16, 15, 18, 11, 8, 16, 14
44, 25, 16, 20, 19, 18, 18, 12, 12, 18, 13, 10, 18, 12, 20, 25, 25, 31, 31, 30, 27, 21, 22, 15, 18, 19, 18, 14, 18, 15, 20, 19, 19, 25, 23, 21, 20, 21, 20, 14, 15, 11, 15, 16, 18, 9, 13, 10, 17, 17, 21, 20, 23, 20, 26, 21, 32, 29, 24, 22, 27, 24, 18, 21, 32, 24, 24, 27, 34, 23, 18, 17, 24, 25, 22, 21, 26, 17, 12, 19, 18, 17, 11, 11, 12, 13, 13, 15, 17, 16, 8, 11, 17, 16
36, 27, 14, 17, 20, 15, 10, 13, 14, 23, 15, 22, 25, 26, 31, 24, 25, 27, 32, 21, 20, 19, 23, 21, 22, 19, 15, 14, 9, 13, 9, 13, 10, 14, 25, 12, 17, 19, 19, 21, 19, 13, 15, 12, 14, 18, 15, 15, 11, 18, 17, 19, 26, 22, 14, 21, 22, 26, 16, 24, 19, 16, 17, 23, 25, 25, 27, 39, 42, 27, 25, 23, 23, 30, 26, 28, 25, 20, 20, 16, 18, 9, 11, 15, 10, 14, 16, 13, 19, 11, 10, 16, 22, 16
26, 18, 16, 15, 21, 19, 23, 23, 23, 20, 26, 30, 27, 26, 22, 15, 18, 18, 23, 18, 19, 24, 21, 24, 25, 21, 17, 8, 12, 14, 17, 19, 12, 20, 18, 9, 18, 19, 21, 21, 15, 10, 7, 11, 11, 16, 13, 11, 19, 16, 17, 22, 22, 20, 14, 18, 16, 18, 23, 20, 22, 20, 19, 25, 28, 35, 29, 36, 32, 23, 27, 21, 31, 36, 26, 26, 28, 16, 22, 25, 22, 13, 18, 17, 18, 17, 23, 18, 21, 11, 20, 20, 15, 14
